11-diethoxyethane|1دی اتوکسی اتان
splitting tensile test|آزمایش کششی ترکاندن
splitting test|آزمایش ترکاندن
splodge|اندود
splore|سرور
splotch|لکه
splotchy|خال خال‌
splurge|به‌
splutter|ترشح‌
spluttery|تفی
spm|ذرات معلق
spodic horizon|افق اسپودیک
spodiophyllite|نوعی کانی
spodiosite|اسپودیوسیت نوعی کانی
spodosol|نیز ببینید
spodosols|اسپودوسول‌ها
spodumene|ترد
spohnge|ابر زدن
spoil|از
spoil bank|خاک پشته
spoil heap|تخت باطله
spoil pit|انبار
spoilable|فساد پذیر
spoilage|غارت‌
spoilage squashy|آبگز
spoiled|لوس
spoiled material|مواد فاسد
spoiled or spoilt|گذشته‌وقسمت سوم‌
spoiled units|واحدهای ضایع شده
spoiler|زودگند
spoiling attack|تک ایذایی
spoils|غنایم
spoils of war|غنائم جنگی، غنایم جنگی
spoils system|سیستم تقسیم مناسب دولتی بین اعضاء حزب حاکم‌
spoilsman|خریدار
spoilsport|بر زهرمار
spoilt|تباه
spoilt child, a spoilt child|یک بچه لوس
spoin bank|انبار مازاد
spokane|آمریکا
spoke|نردبان پله هم میگویند
spoke bone|زند اعلی
spoke gate|مدخل پره ای
spoke shave|رنده مشتی
spoke wheel|چرخ پره دار
spoken|گفتاری
spoken language|زبان گفتاری
spoken language corpus|پیکره زبان گفتاری
spokeshave|رنده گرد
spokeshave, spoke shave|رنده مشته
spokesman|ناطق
spokesperson|سخنگو مرد یا زن
spokeswoman|سخنگو زن، سخنگوی زن‌
spoking|تولید نور و یا جرقه‌های نور به طور گاه به گاه روی صفحه رادار
spoliate|دزدیدن‌
spoliation|دزدی‌
spoliator|غاصب
spon yarn|نخ تابیده شده از الیاف کوتاه
spondee|وتدی که دارای دوهجای دراز باشد
spondyl|فقره
spondylitis|پزشکی ورم مهرههای ستون فقرات مهره تبسی
spondylo|مهره ستون فقرات پیش از واکه
spong|اسپانگ
sponge|ابر
sponge absorbs water|میمکد
sponge bath|استحمام با ابر حمام
sponge cake|کیک پف آلود، کیک پف الود
sponge iron|اسفنج آهن
sponge lead|سرب اسفنجی
sponge rubber|ابر حمام، ابرحمام‌
sponge weave|بافت اسفنجی
spongecake|کماج
sponger|انگل
spongiform|اسفنجی
spongin|پروتین گوگرددار بدن بسیاری از اسفنها اسونین
sponginess|حالت ابری
sponging|اسفنجی کردن
sponging on others|لفت و لیس
spongioblast|اسفنج تراو
spongolite|اسپانجولیت نوعی سنگ
spongology|ابرشناسی، ابر شناسی‌
spongy|لیفی
spongy fabric|فابریک اسفنجی
spongy structure|ساخت اسفنجی
sponor|پد ریا مادر تعمیدی
sponser|ضامن
sponsion|تعهد
sponson|هواپیمای آب رو باله
sponsor|دن‌
sponsor a claim|حمایت کردن از ادعا
sponsor sponsorship|بنداد
sponsor surety|پذیرفتار
sponsor training|مسئولیت پذیری
sponsored by|به ضمانت
sponsored dependents|عائله تحت تکفل، عایله تحت تکفل
sponsored film|فیلم سفارشی
sponsorship|تکفل
spont|فواره
spontancous fission|شکافت خودانگیز
spontaneity|فوریت
spontaneos emulsification|روش امولسیون سازی خودبخود
spontaneous|فوری
spontaneous assembly|خودبخودی
spontaneous behavior|رفتار خودانگیخته
spontaneous combustion|احتراق خودزا
spontaneous discharge|شلیک خودانگیخته
spontaneous emission|گسیل خوبخودی
spontaneous financing|تامین مالی بدون برنامه ریزی قبلی
spontaneous generati|بی‌اختیار
spontaneous generation|خودبخودی
spontaneous ignition|افروزش خود به خود
spontaneous initiation|آغاز خودبخود
spontaneous magnetization|مغناطیدگی خودانگیخته
spontaneous potential|پتانسیل خودجوش
spontaneous process|فرایند خودبه‌خود
spontaneous recovery|بهبود خود به خودی
spontaneous remission|بهبود خود به خودی
spontaneous speech|گفتار فی‌البداهه
spontaneous transfer reaction|واکنش انتقال خودبخود
spontaneously|خودبخود
spontaneously crimped fibre|لیف با فر و موج خود بخودی
spontanous cinema|سینمای خودانگیخته‌
spontex|لیف مصنوعی اسپان تکس ویسکوز اسفنجی
spontoon|نیزه کوتاه
spontron|لیف مصنوعی اسپان ترون پلی پروپیلن پولکی برای طناب
spoof|مسخره‌
spoofer|در رهگیری هوایی یعنی دشمن از وسایل فریب الکترونیکی یا تاکتیکی استفاده می‌کند
spook|جن‌
spookish|شبح وار
spookish ky|شبح وار
spooky|شبحوار، شبح‌وار
spool|اسپول
spool arms|بازوهای نگهدارنده قرقره‌های فیلم
spool mold|قالب تولید قرقره
spool piece|فلنج اتصال
spool wound film|فیلم قرقره پیچ
spooler|برنامه ردیف گر
spooler spooling|ماشین ماسوره پیچی
spooling|قرقره کردن
spooling device|وسیله کابل پییچی
spooling oil|روغن بوبین پیچی
spoon|قاشق
spoon bread|جنوب ایالت متحده نان ذرت
spoon feed|باقاشق غذا دادن‌
spoon ful|یک قاشق
spoon harrow|کلوخه شکن قاشقی
spoon shaped spatula|کارتیغ قاشقی
spoon-feed|با قاشق خوردن، با قاشق خوراندن
spoonbill|کفچه نول
spoondrift|ترشح امواج
spooner|نوعی ماشین شستشوی پارچه با عرض باز
spoonerism|لقلقه
spooney|لوس‌
spoonful|باندازه یک قاشق‌، به اندازه یک قاشق
spooniness|نرمی
spoony|لوس‌
spoony or spooney|آدم پر احساسات
spoor|بنک
spoor trace track trail|بنک
spor|اسپر
sporades|همه جزایر متعلق به یونان در دریای اژه به جز
sporadic|تک تک
sporadic e layer|ارتفاع
sporadic fault|عیب گاه بگاه‌
sporadically|به طور گهگاه
sporadosiderite|شخان پراکنده آهن
sporangiospore|اسپورانژیوسپور
sporangite|اسپورانژیت
sporangium|هاگدان
spore|تخم
spore coat|پوشش هاگ
spore fruit|گیاه شناسی هاگ بر مشکوبر
spore mother cell|گیاه شناسی یاختهی مادر هاگ هاگآور
spores|هاگ
sporiferous|گیاه شناسی هاگزا
sporinite|هاگ سنگ
sporite|اسپوریت
sporo|هاگ پیش از واکه
sporocarp|در جلبکهای قرمز و گلسنگها و غیره هاگ و میوه
sporocyst|جانورشناسی کیسهی لیسهپوش
sporogenesis|هاگ آوری
sporogenic|هاگ زا
sporogenous|هاگ زا
sporogeny|هاگ آوری
sporogonium|عضو مولد هاگ در گیاهان پست
sporogony|هاگ آوری
sporophore|گیاه شناسی قارچها هاگبر
sporophyll|گیاهشناسی هاگبرگ برگ هاگزا هاگدانزا
sporophyte|گیاهشناسی هاگه گیا در برابر: زامه گیا
sporopollenin|اسپوروپولنین
sporous|هاگدار
sporozoal|اسپروزا
sporozoan|اسپروزا
sporozoite|هاگدار
sporran|چنته یاکیسه چرمی جلو دامن اسکاتلندیهای کوهستانی‌
sport|بازی
sport car|اتومبیل کورسی
sport car sports car|اتومبیل کوچک
sport fish|ماهیگیری تفریحی
sport palace|کاخ ورزش
sport shirt|پیراهن یقه باز ورزشی‌
sport skill|مهارت ورزشی
sport skill pattern|الگوی مهارت ورزشی
sport stain|ساتین ورزشی
sporterize|تبدیل تفنگ نظامی به شکاری
sportface|چمن مصنوعی
sportfisherman|قایق موتوری بزرگ برای ماهیگیری دورازساحل
sportfishing|ورزش ماهیگیری با قلاب و نخ
sportful|شوخ‌
sporting|قماری
sporting chance|امکان معقول
sporting dog|سگ شکاری
sporting house|قدیمی
sporting sports|وابسته به ورزش
sportingly|برای تفریح
sportive|ورزشی
sportiveetc|شوخ
sportively|ورزشی
sportiveness|لهو
sportivesetc|شوخ
sportman|ورزشکار
sportmanlike|صفات ورزشکارانه
sportmanship|رفتار و اخلاق انسانی
sports|ورزش
sports car|اتومبیل کورسی
sports car, sport s car|اتومبیل دو نفره که دارای خصوصیات اتومبیل مسابقه و مسافرتی است
sports equipment|اسباب ورزشی
sports medicine|طب ورزشی
sports or sport car|اتومبیل کورسی اتومبیل شکاری اتومبیل کوچک دو نفره با موتور قوی
sports sedan|اتومبیل کوچک
sports-racing car|اتومبیل مسابقه
sportscast|گوینده برنامه ورزشی‌
sportscaster|گوینده اخبار ورزشی
sportsman|ورزشکار
sportsmanlike|جوانمرد
sportsmanly|مردانه وار
sportsmanship|صیادی
sportswear|لباس راحت
sportswoman|زن ورزشکار
sportswriter|ورزش نگار
sporty|جلف‌
sporulate|گیاهشناسی هاگ آوردن هاگ آوری کردن
sporulation|زایی
sporulative|هاگ آور
sporule|گیاهشناسی هاگچه
spot|لک
spot ball|گویی که از نقطه معین هدف ضربه با گوی اصلی بیلیارد قرار می‌گیرد
spot beam|پرتو نقطه ای
spot bowler|بازیگری که بجای نشانه گیری به میله‌های بولینگ بجای معینی روی مسیر هدفگیری میکند، بازیگری که به جای نشانه گیری به میله‌های بولینگ به جای معینی روی مسیر هدفگیری می‌کند
spot cash|پول نقد
spot check|بررسی موضعی‌
spot coring|مغزه گیری نامنظم
spot detection of gaseous of hydrocarbons|اندازه گیری بی برنامه هیدروکربورهای گازی
spot distortion|اغتشاش نقطه
spot effect|افکت موضعی و زودگذر
spot effects|صداهای موضعی
spot elevation|موضعی
spot exchange transaction|معامله تحویل فوری ارز در یک روز
spot facing|پرداخت سطح
spot footing|پی مجزا
spot goods|کالاهای موجود
spot grading|صافسازی
spot height|ارتفاع نقطه ای
spot kick|ضربه کاشته
spot lamp|لامپ موضعی
spot light|نور لکه ای
spot lighting|نور نقطه ای
spot lights|منابع نورافکنی‌
spot map|کروکی تصادف یا کروکی مشاهدات بازرس
spot market|بازار نقدی
spot meter|نقطه سنج
spot metering|سنجش اکسپوز نقطه ای
spot net|شبکه مخابراتی دیدبان یا دیدبانی
spot of enforcement|نقطه پنالتی
spot of light|لکه نور
spot pass|پاس غیرمستقیم
spot price|بهای نقد
spot rate|نرخ روز
spot repair|تعمیر در جا
spot report|گزارش مشاهدات یا گزارش فوری از تحقیقات محلی
spot resistance welding|جوشکاری نقطه ای مقاومتی
spot sale|فروش نقد
spot shot|ضربه به گویی که در نقطه معین گذاشته شده
spot test|آزمایش فوری، ازمایش فوری‌
spot test plate|صفحه آزمون لکه
spot transaction|معامله نقدی
spot weld|خال جوش
spot welding|خالوش
spot welding electrode|الکترود جوشکاری نقطه ای
spot welding machine|دستگاه جوش نقطه ای
spot white|گوی سفید اصلی بیلیارد برای ضربه زدن به گویهای دیگر
spot yarn|نخ اسلاب دار
spot-check|نمونه سنی
spot-facing|پرداخت سطح لبه
spot-formi cell|فرمی
spot-pattern test|ازمون طرح نقطه‌ها
spotaneous economy|اقتصاد خودبخودی
spotless|بی خال
spotlessly|به طور کاملا تمیز
spotlight|نورافکن
spots|نقاط
spottable|لکه پذیر، ل که پذیر
spotted|لکه دار، لک‌دار
spotted agent|لکه بر
spotted hole|سوراخ با سنبه نشان
spotted schist|شیست لکه دار
spotted slate|نیز ببینید
spotted structure|ساخت لکه ای
spotted thread|نخ فانتزی
spotted vesting|پارچه خال دار جلیقه ای
spotter|کوچ
spottiness|لک داری
spotting|تشخیص دادن
spotting (artill|تصحیح تیر
spotting artillgun, spotting artill-gun|تصحیح تیر
spotting board|طرح تیر توپخانه دریایی
spotting charge|خرج مشقی برای تصحیحات دیدبانی خرج مخصوص تنظیم تیر
spotting line|خط دیدبانی توپخانه دریایی یا زمینی خط تنظیم تیر و دیدبانی آتش، خط دیدبانی توپخانه دریایی یا زمینی خط تنظیم تیر و دیدبانی اتش
spotting list|فهرست زیرنویسها
spotting scope|دوربین روی سه پایه
spotty|ابرش
spotty sputter stork|لک لک
spousal|زفاف‌
spousal wedded|وابسته به ازدوا
spouse|زن
spout|جوش‌
spout feeder|تغذیه کننده ناودانی
spout squirt|آب ریسمان
spouter|فواره‌
spoz|فرض کردن
sppanning set|مجموعه فراگیر
sppech digitization|دیجیتال سازی صحبت تبدیل شکل موجهای صحبت آنالوگ به شکل دیجیتال
spped adjustment|تنظیم سرعت
spracket|چرخ دندانه دار میز
spraddle|پاها را گشاد گذاشتن پاها را گسترده کردن لنگها را از هم باز کردن
sprag|گوه‌
sprain|پیچ‌
sprain strain twist|رگ به رگ شدگی
sprained|رگ به رگ
spraints|فضله سمور ابی
sprang|گذشته‌
sprat|ماهی خمسی
sprawl|ولوشدن
sprawling|گل و گشاد
spray|آب پاشیدن
spray attack|پخش مواد شیمیایی و بیولوژیکی از راه هوا برای تولید تلفات
spray can|پشنه
spray carburetor|کاربراتور سوخت پاش
spray chamber|محفظه پخش
spray coating|پوشش دادن به روش اسپری
spray dryer|خشک کن افشانکی
spray gun|سماش
spray head|سر رنگپاش، سر رنگ پاش
spray lay up|لایه گذاری افشانه ای
spray lubricant|روان کننده افشانه ای
spray method|روش اسپری در پوشش دادن منسوج
spray painter|رنگپاش
spray painting|رنگپاشی
spray paintiong|رنگ پاشی
spray pattern|الگوی پاشش
spray percolation|صافی افشان
spray poison|سمپاشی کردن
spray print|نقش قطرات باران
spray printing|چاپ اسپری
spray quenching|سرد کردن پاشیدنی
spray reagent|واکنشگر افشانه ای
spray tip|دهانه خروجی پاشش
spray tower|برج افشانه دار
spray tray|تله افشانک
spray up|لایه گذاری یا لایه چینی پاششی
sprayer|پاش
spraying|افشانده
spraying gun|تلمبه سم پاشی
spread|گسترده
spread coating|پوشش کامل
spread coating finish|تکمیل پوشش کامل
spread coating machine|ماشین پوشش کامل
spread coating paste|خمیر پوشش کامل
spread eagle|امریکا
spread effects|اثرات نشر
spread factor|ضریب انتشار
spread footing|پی منفرد
spread function|تابع انتشار
spread oneself too thin|با یک دست چند هندوانه برداشتن
spread out|ولو کردن
spread out to|پهن کردن
spread plate|سطح پخش
spread run|مدت پخش
spread sheet|پهنه گسترده محاسباتی
spread sheet software|نرم افزار صفحه گسترده
spread to|گستردن
spread yawn|پهناور شدن
spread-eagle|با دست‌های گسترده خوابیدن، با دست‌های گسترده خواباندن
spread-spectrum modulation|مدوله سازی طیف
spreader|شیوع
spreader beam|تیر تقویتی
spreader calender|غلتک رزین زنی به برزنت
spreader lens|عدسی نورپراکن
spreader rig|میله ای که نخها جداگانه به ان وصل میشود
spreading|نشر
spreading center|مرکز گسترش
spreading coefficient|ضریب انتشار
spreading concept|بستر دریا
spreading machine|مقسم بتن
spreading resistance|به تنهایی
spreadsheet|برگه گسترده
spreadsheet, spread sheet|صفحه گسترده
spreadsheet program|برنامه صفحه گسترده
spred awning|چادر پهن کردن
spree|رود اشری در خاور آلمان
sprey jet|جت پاشنده
sprig|سر
sprig sprout|نوشاخه
sprigged print|قلمکارگل وبته دار
spriggite|نوعی کانی
spriggy|شاخه دار
sprightful|سرچنگ
sprightfully|سرحا
sprightliness|نشاط
sprightly|شنگول
spring|خار
spring alcove|آلاچیق چشمه ساخته
spring back|فنریت
spring balance|تعادل فنری
spring beard needle|سوزن سر فنری کشبافی
spring bearded needle|سوزن سرفنری کشبافی
spring board|تخته‌شیرجه که‌هنگام‌پریدن‌یا شیرجه‌رفتن‌بکار میرود
spring brake|وسیله کشیدگی فنری یا صفحه ای در ماکو
spring caliper|پرگار آهنی
spring chicken|جوان خودمانی
spring clip|فنر ماسوره گیر ماکو
spring collet|کلت فنری
spring conditions|شرایط بهاری
spring constant|ضریب فنریت
spring contact|کنتاکت فنری
spring coupling|کوپلینگ فنری
spring deflection|تغییر شکل فنر
spring driven|دوربینهای فنری
spring equinox|اعتدال بهاری
spring fever|تب بهاره
spring growth|رشد بهاری
spring hook|قلاب فنردار
spring loaded|فنری
spring loaded tension rail|ریل یا میله کشش با بارفنری
spring lock|قفل فنردار
spring mass dashpot system|سیستم ضربه گیر جرم فنر
spring mattress|دشک فنری
spring needle|سوزن سر فنری کشبافی
spring of intrados|پاطاق درونی
spring onion|پیازچه
spring peeper|بومی ایالات متحده
spring plate|صفحه فنری
spring pole drilling practice|روش تیر چوبی فنری
spring power hammer|چکش فنری
spring practice|دوره تمرینهای بهاری دانشگاه
spring pressure gage|فشارسنج فنری
spring problem|مساله فنر
spring rate|سرعت جهش
spring shower|رگبار بهاری
spring socket|کاسه ابزار گیر فنری
spring steel|فولاد فنر
spring suiting|دمیسزون
spring suspension|تعلیق فنری
spring tester|دستگاه ازمایش فنری
spring tide|مه کشند
spring tides|جزومدهای بهاری
spring time|هنگام بهار
spring top motion|دستگاه برگرداننده ورد در بالای ماشین بافندگی
spring up|رشد کردن
spring vernal|بهاره
spring washer|واشر فنری
spring wound camera|دوربین کوکی
spring-balanced|ترازوی فنری
spring-cleaning|خانه تکانی بهاره
spring-return switch|سوییچ برگشت
springal|قدیمی نوجوان جوان فعال هم مینوشتند
springback|تورم
springboard|واگن سبک
springboard, spring-board|تخته شیرجه
springboarder|شیرجه رو
springbok|آهوی جهنده
springcleaning, spring cleaning|خانه تکانی درفصل بهار
springcreekite|نوعی کانی
springe|دام‌
springer|گاو آبستن
springer spaniel|سگ اسانیل از نوع اسرینگر
springer stone|نخستین رگ پاطاق
springeran|اسپرینگران
springerle|در اصل از آلمان نان شیرینی رازیانهدار
springfever|تب بهاره طب
springfield|آمریکا
springfield rifle|کالیبر
springform pan|ماهیتابهی گرد و دردار
springhead|چشمه‌
springhouse|حوضخانه‌
springiness|فنری‌
springing|پاطاق
springing of extrados|پاطاق برونی
springing of soffit|پاطاق درونی
springing teal|تیراندازی به هدفهایی که بطور عمودی بالا می‌ایند
springless|بی فنر
springlet|زهاب
springs|عیون
springtail|جانورشناسی دم فنری حشرات بی بال راستهی که به کمک زایدهی دم مانند در هوا میجهند
springtide|بهاران
springtide, spring tide|فصل بهار
springtime|شباب‌
springtime, spring time|بهاران
springwood|در حلقههای سالیانهی تنهی درخت چوب بهاره حلقهی بهاره
springy|فنری‌
springy stretch stretchy|کشدار
sprining charge|خرج چال کننده یا گود کننده
sprining to the mind first|تبادر به ذهن
sprinkle|چکه
sprinkled|افشانده
sprinkler|ابپاش، اب پاش‌
sprinkler irrigation|ابیاری بارانی
sprinkler system|سیستم سازگان آب پاشی خودکار برای آبیاری چمن و غیره
sprinkler truck|اتومبیل ابپاش
sprinkler valve|شیر آبفشان
sprinkler watering can|آباش
sprinkling|شمار اندک
sprinkling water|آب پاشی
sprint|تاخت
sprint car|اتومبیل روباز مسابقه
sprint pass|مبادله نامرئی چوب امدادی، مبادله نامریی چوب امدادی
sprint relay|مسابقه امدادی 4 نفره در مسافتهای مختلف
sprint start|استارت نشسته
sprinter|قهرمان دوسرعت‌
sprinting|مسابقه اتومبیل رانی
sprit|نی‌
sprite|جن
spritsail|بادبان آویخته از دیرک افقی
spritzer|اسریتزر
sprocket|ملخک
sprocket chain|زنجیر دندانه دار
sprocket drive|دستگاه موتوری چرخ دنده ای
sprocket hole|سوراخ زنجیری‌
sprocket holes|سوراخهای حاشیه
sprocket wheel|چرخ دنده
sprocketless drive|رانش بی دندانه
sprockets and rollers|قرقره‌های دندانه دار و قرقره‌های بدون دندانه
sprout|ترکه
sprouting|جوانه زدن
sprption isotherm|جذب همدما
sprt|آزمون نسبت احتمال دنباله ای
spruce|گیاهشناسی صنوبر نویل جنس از خانوادهی
spruce beer|آبو صنوبری دارای عصارهی برگ صنوبر
spruce fir|صنوبر
spruce grouse|جانورشناسی سیاه خروس کانادایی
spruce pine|گیاهشناسی کا صنوبر
sprucely|بطور قشنگ، بط‌ور قشنگ‌
spruceness|قشنگی
sprucy|قشنگ‌
sprue|پزشکی بیماری اسرو بیماری نواحی استوایی
sprue anchor pin|سوزن لنگر گلوگاه
sprue cutter|شیار بر
sprue gate|دریچه گلوگاه
sprue hole|راهگاه
sprueless mold|قالب بی راهگاه
sprung|زمان ماضی فعل
sprung rhythm|در اشعار شاعر انگلیسی قافیهی تابدار
sprung up|رسته
spry|فرز
spss|بسته اماری برای علوم اجتماعی
spt|تزریق مواد مختلف در عمق خاصی از چاه
sptd|تزریق نمودن موادی خاص در عمق معیینی از چاه
spud|ساق
spud bit|مته چال زنی
spud can|پایه ساق
spud in|اغاز حفاری
spud mud|گل آغاز حفاری
spudded|اسپاد نمودن دکل یا برپایی دکل حفاری بمنظور شروع عملیات حفاری
spudder|چالزن، چال زن
spudding|چالزنی، چال زنی
spudding pulley|قرقره چاه زن
spudding shoe|کفشک چالزنی
spuding arm|خرک
spume|کف
spumellarian|اسپوملارین
spumescent|کف مانند
spumone|ایتالیایی‌
spumoni|اسومونی
spumy|کف دار
spun|تفته
spun blend|نخ مخلوط تابیده شده
spun bond|اسپان باند نوعی منسوج بی بافت تهیه شده هنگام ذوب ریسی الیاف مصنوعی
spun bonded|نوعی منسوج بی بافت
spun concrete|بتن تنیده
spun concreting|بتون ریزی گریز از مرکز
spun dyed fibre|لیف رنگ شده در مرحله ریسندگی
spun dyed yarn|نخ خمیره رنگی
spun glass|پشم شیشه
spun in felt|پرزتابدار در نخ
spun in fly|اسلاب پرزی
spun or span|گذشته
spun rayon|نخ رایونی ریسیده شده
spun silk|ابریشم تابیده
spun sugar|پشمک هم میگویند
spun warp|چله با نخ ریسیده
spun yarn|نخ تابیده‌
spungo|لیف مصنوعی اسپونگو ویسکوز اسفنجی
spunized|لیف مصنوعی اسپونایز نایلون قابل ارتجاع
spunk|دل‌
spunkie|روح‌
spunky|غیور
spunous|کف دار
spur|اثر
spur dike|ابشکن
spur gall|زخم مهمیز
spur gear|دنده ملخی
spur of a matrix|اثر ماتریس
spur offtake|آبگیر مستقیم، ابگیر مستقیم
spur shore|فانتوم
spure|راهگاه
spure cutter|شیار بر
spure hole|راهگاه
spure pin|میله راهگاه
spurge|فرفیون
spurge daphne spurge|ماذریون‌
spurge daphnespurge olive|ماذریون
spurge daphnesspurge olive|ماذریون
spurge laurel|مازریون غاری
spurge olive|ماذریون
spurious|بدل
spurious association|پیوند جعلی
spurious coefficient of correlation|ضریب همبستگی ساختگی
spurious correlation|همبستگی بدلی
spurious current|جریان ناخواسته
spurious dependence|وابستگی جعلی
spurious emission|انتشار ناخواسته
spurious modulation|مانند مدوله سازی بسامد ناشی از ارتعاش مکانیکی
spurious radiation spurious emission|تابش کاذب
spurious resistance|مقدار مقاومت انگلی
spurious response|پاسخ کاذب
spurious signal|علایم مخابراتی مزاحم خارجی در یک دستگاه مخابراتی
spurious states|حالتهای بدلی
spurious vein|رگبال دروغی. رگبال حاصل از تاخوردگی بال
spuriously|بطور دروغی
spuriousness|قلبی
spurn|لگدزن
spurner|لگد زن‌
spurred|زنگ زده
spurrey|ثاقب‌
spurrier|مهمیز ساز
spurrite|اسپوریت
spurry|ثاقب‌
spurry or spurrey|گیاه شناسی افتانی اسرگولا گیاهان جنس از خانوادهی
spurt|جهش
spurt pipes|لوله‌های مشبک در ماشین شستشو که آب را با فشاری به روی پارچه می‌پاشد
spurtle|شمشیر
spurtrack, spur track|جاده فرعی
sput nik|قمر مصنوعی
sputa|جمع‌
sputnik|اسپوتنیک
sputnik, sput nik|ماهواره
sputter|سخن گفتن
sputter coating|پوشش دهنده تصعیدی
sputtering|تبخیر
sputtering cathode sputtering|پراکندن
sputum|تف‌
spy|از
spy espy|دیدن از دور
spy glass, spy-glass|تلسکپ یادوربین‌کوچک‌، تلسکوپ یا دوربین کوچک
spy hole|روزنه
spy into|نهانی دیدن
spy upon|پاییدن
spyder|اسپایدر
spyder dolly|گردونه عنکبوتی
spygla|دوربین کوچک
spyglass|تلسکوپ کوچک، تلسکوب کوچک‌
spying|جاسوسی
spyndle|وزن 14400 یارد نخ بر حسب پوند
spyware|جاسوسافزار
sq|لاتین این یکی آنکه اکنون به آن اشاره میشود
sqark plug|شمع
sqid|خمپاره ضد زیردریایی
sql|اس‌کیوال
sql server|یکی از قویترینها برنامه‌های ساخت پایگاه داده
sqp|فایلهای نرم افزار
squab|خپل
squabber|تپلی
squabble|ستیزه‌
squabbler|اهل کلنار
squabby|خله کوتاه و چاق
squad|تیم
squad car|اتومبیل پلیس مجهز به فرستنده‌
squad room|اتاق خواب سربازان، اطاق خواب سربازان‌
squadron|ناوتیپ
squadron leader|سرگرد هوایی
squalamine|اسکوالامین
squalene|اسکوالن
squalid|چرک
squalidity|پستی
squalidness|پستی
squall|عامیانه گرفتاری دردسر بلوا
squally|ناجور
squaloid|شبیه کوسه ماهی
squalor|آلودگی
squama|خرشف
squamate|فلس مانند
squamation|پولک‌
squamo|فلس پولک پوستک پیش از واکه
squamosal|در جممهی برخی از مهرهداران پست استخوان پولکی
squamose|فلس دار
squamous|فلسی‌
squamulose|دارای فلس‌های ریز
squander|اسراف
squander lavish waste|اسراف کردن
squanderer|متلف‌
squandering|اتلاف
squar root|جذر
square|مربع
square away|سروسامان دادن به‌، سر و سامان دادن به
square ball|پاس عرضی
square base|کف گلوله یا قسمت ته گلوله
square bracket|کروشه
square brackets|قلابهای گوشه دار
square cloth|پارچه مربع
square coaxial line|خط هم محور مربعی
square core coil|سیم پیچ با هسته مربعی
square dance|اسکوردانس
square deal|تقلب نکردن‌
square design paper|کاغذ شطرنجی
square dome|چهار طاقی
square error|مربعات خطا
square factor|سازه مربع، سازنده مربع
square file|سوهان چهارگوش
square foot|فوت مربع
square free|بدون مجذور
square grid method|روش تور مربعی
square group|گروه مربع
square head|اتصال گونیایی
square inch|اینچ مربع
square integrable function|تابعی مربعی انتگرال پذیر
square inverse|عکس معکوس مجذور
square inverse law|قانون عکس معکوس مجذور
square knot|گره مربر
square lattice|شبکه مربعی، شب که مربعی
square law device|قطعه مجذور کننده
square law modulator|مدوله کردن مجذوری
square leg|محل بازیگر در ردیف توپزن و کمی دور از او
square matrix|ماتریس مربع
square means second|مجذوریعنی‌توان‌دوم‌
square means second p|مجذوریعنی توان دوم
square measure|سنجش سطح
square meter|متر مربع
square metre|متر مربع
square mil|میل مربع
square motion comb|دستگاه شانه با حرکت چهار گوش
square number|عدد مربع
square number, a square number|توان دوم یا مجذور عدد صحیح، توان دوم یامجذورعد د صحیح
square numbers|اعداد مربعی
square of a nubmer|مال
square of a number|مربع یک عدد
square of modes|مربع امتدادها
square of opposition|مربع تباینات
square one|خان اول، خانه اول
square or second root|جذر
square planar|مسطح مربعی
square potential well|چاه مربعی پتانسیل
square pulse|پالس مربعی
square pyramid|هرم مربع القاعده
square pyramidal molecule|مولکول هرمی مربع القاعده
square quadrilateral tetragonal|چهار گوشه
square regular blooming|کامل عامیانه
square rigger|نوعی کشتی بادی
square root|جذر
square root function|تابع ریشه دوم
square root law|قانون ریشه دوم
square root method|روش جذرگیری
square root transformation|تبدیل جذری
square sail|بادبان‌های چهار گوش
square second|جذر
square set|قاب‌های کرسی بند
square set stope|استخراج باکرسی چینی
square set stoping|روش استخراجی کرسی بندی
square shaft screw of bolt|میله چارتراش
square shooter|باشرف‌
square shouldered|دارای شانه پهن‌
square shouldered, square-shouldered|چارشانه، چهارشانه‌
square stone|سنگ بادبر
square tally reconcile|تطبیق کردن
square term|جمله مربع
square thread|دنده تخت
square toed|امل
square wave|موج مربعموج مربعیموج چهار گوش
square weave|بافت مربعی
square wood to|بریدن الوار
square-bashing|مشق قدم رو ارتش
square-dance|اسکوردانس رقصیدن
square-law detection|آشکارسازی توان
square-loop ferrite|فریت حلقه مربعی فریتی که حلقه پس ماند تقریبا مستطیلی دارد
square-net stoping|روش نگهداری با شبکه چوب بست
square-out|پاس با دویدن گیرنده توپ به جلو و تغییر مسیر به کنار به موازات خط تجمع
square-rigged|دارای بادبان‌های چهار گوش کشتی
square-rigger|کشتی دارای بادبان‌های چهارگوش
square-rooting circuit|مدار ریشه دوم مداری که ولتاژ خروجی آن متناسب باریشه دوم ولتاژ ورودی است
square-set stop|استخراج با کرسی چینی
square-setting|کرسی بندی
square-toed|پنه پهن کفش
square-wave generator|مربعی تولید می‌کند
square-wave modulator|تحویل می‌دهد
square-wave testing|آزمایش موج
squared|بقوه دو
squared paper|کاغذ طراحی
squared timber|الوار چارتراش
squarely|رک
squareness|مربعی
squareness ratio|نسبت مربعی
squarer|مساح‌
squaring|تربیع
squaring circuit|مدار مجذور کننده
squaring of circle|تربیع دایره
squaring shear|راستبر، راست بر
